2017-03-11 08:34:09 INFO  Controller:28 - === START ===
2017-03-11 08:34:10 INFO  DBHelper:77 - Список пабликов успешно загружен.
2017-03-11 08:34:12 INFO  HttpTransportClient:158 - Request: https://api.vk.com/method/status.get		802
2017-03-11 08:34:12 INFO  VKAuthorization:31 - Токен валидный. Возвращаем VK Actor.
2017-03-11 08:34:16 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76582
2017-03-11 08:34:16 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76566
2017-03-11 08:34:16 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76566
2017-03-11 08:34:16 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76554
2017-03-11 08:34:16 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76554
2017-03-11 08:34:17 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76550
2017-03-11 08:34:17 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76550
2017-03-11 08:34:17 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76539
2017-03-11 08:34:17 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76539
2017-03-11 08:34:17 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76532
2017-03-11 08:34:17 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76532
2017-03-11 08:34:17 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76530
2017-03-11 08:34:17 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76530
2017-03-11 08:34:17 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76524
2017-03-11 08:34:17 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76524
2017-03-11 08:34:17 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76519
2017-03-11 08:34:17 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76519
2017-03-11 08:34:17 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76506
2017-03-11 08:34:17 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76506
2017-03-11 08:34:17 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76502
2017-03-11 08:34:17 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76502
2017-03-11 08:34:17 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76495
2017-03-11 08:34:17 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76495
2017-03-11 08:34:18 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76487
2017-03-11 08:34:18 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76487
